id,bssid,ssid,capabilities,frequency
112,00:1e:52:f4:f6:bb,wohnnet_2,[WPA-PSK-TKIP][WPA2-PSK-TKIP+CCMP],2412
113,d8:c7:c8:de:fe:e0,Welcome_KAIST,[WPA2-EAP-CCMP],2437
114,00:08:9f:ac:a4:f4,CMPL,[WPS][WEP],2452
115,00:26:66:d2:36:40,ECL-WiFi,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS],2452
117,00:26:66:95:22:2e,iptime,[WPS],2462
118,00:26:66:cf:22:ac,ACAD,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS],2412
119,d8:c7:c8:df:1b:20,Welcome_KAIST,[WPA2-EAP-CCMP],2412
120,d8:c7:c8:df:01:a0,Access_KAIST,,2472
121,d8:c7:c8:df:01:a1,Welcome_KAIST,[WPA2-EAP-CCMP],2472
122,00:26:66:1c:df:88,YDK,[WPA-PSK-CCMP][WPA2-PSK-CCMP],2452
123,ba:f8:60:75:03:ab,portthru,[IBSS],2457
124,00:26:66:2e:f9:a0,ITDEV1,[WPA-PSK-CCMP][WPA2-PSK-CCMP],2432
125,d8:c7:c8:df:15:61,Welcome_KAIST,[WPA2-EAP-CCMP],2472
126,d8:c7:c8:df:15:60,Access_KAIST,,2472
127,00:08:9f:73:66:24,HCIL,[WPA-PSK-CCMP][WPA2-PSK-CCMP],2422
128,d8:c7:c8:de:fa:81,Welcome_KAIST,[WPA2-EAP-CCMP],2432
129,00:26:66:54:78:80,iptime-gdpl2,[WPA-PSK-CCMP][WPA2-PSK-CCMP],2462
131,00:25:9c:42:6b:bc,linksys,[WPS],2462
132,00:26:66:1f:24:f0,arachne,[WEP],2462
133,72:d6:9e:b7:0a:46,Kyle,[IBSS],2412
134,00:26:66:55:b2:ce,TMP,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS],2412
135,00:26:0b:dc:55:41,Welcome_KAIST,[WPA2-EAP-CCMP-preauth],2417
136,02:d8:f2:73:6c:67,slnc-ctrl,[IBSS],2412
137,00:08:9f:33:41:fc,"Arnold K",[WPA-PSK-CCMP][WPS],2452
138,00:12:01:a2:3f:60,Welcome_KAIST,[WPA2-EAP-CCMP],2457
139,00:25:9c:42:6c:d0,ssd,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2447
140,16:f0:8a:27:cf:c3,NECPJ,[IBSS],2457
141,00:26:66:82:48:90,iptime,,2462
142,00:26:66:69:40:5c,aiptimer,[WPS][WEP],2462
143,00:08:9f:0b:e7:b0,msc_WL_lan3,[WPA-PSK-TKIP][WPA2-PSK-TKIP],2412
144,00:24:6c:7a:8d:a0,Welcome_KAIST,[WPA2-EAP-CCMP],2412
145,00:26:66:b5:0b:30,Rail_MA,[WPS][WEP],2412
146,d8:c7:c8:df:0c:40,Welcome_KAIST,[WPA2-EAP-CCMP],2462
147,00:08:9f:db:58:e8,ICARUS,[WPA-PSK-CCMP][WPS],2462
148,02:20:70:2c:be:2b,HPJ310a.48D1EA,[IBSS],2437
149,00:1a:1e:7a:86:e0,Welcome_KAIST,[WPA2-EAP-CCMP],2412
150,d8:c7:c8:df:10:21,Welcome_KAIST,[WPA2-EAP-CCMP],2472
151,00:13:19:c4:2f:70,Welcome_KAIST,[WPA2-EAP-CCMP],2447
152,02:29:f9:95:58:95,HPJ310a.48D1EA,[IBSS],2437
153,d8:c7:c8:de:fc:60,Welcome_KAIST,[WPA2-EAP-CCMP],2437
